audio_path,sentence
dataset/clips/common_voice_yo_38182619.mp3,Lọ kà nípa nkán tí wọ́n n béèrè fún nínú ẹgbẹ́ Akọ́mọlédè.
dataset/clips/common_voice_yo_41143162.mp3,A le kọbiara sí gbogbo oun tí Kúnlé ń sọ. A sì le kọ̀
dataset/clips/common_voice_yo_40328684.mp3,Àwọn míràn wà tí ìbálé wọn já torí wàhálà láì sí ìbálòpọ̀.
dataset/clips/common_voice_yo_40328681.mp3,Ìjọba fún àwọn olùkọ́ ní ẹ̀bùn ọkọ̀ ńlá.
dataset/clips/common_voice_yo_40956594.mp3,Obìnrin tórí kó yọ lọ́wọ́ àwọn ajínigbé ní ewé ni òun jẹ nínú igbó.
dataset/clips/common_voice_yo_36526475.mp3,Ó ti pé ọgọ́rùn-ún ọjọ́ tí ìjọba ti f'òfin de wá.
dataset/clips/common_voice_yo_40236284.mp3,Àwọn adarí ẹ̀sìn Musulumi ṣe ayẹyẹ fún Àrẹ̀mú.
dataset/clips/common_voice_yo_36523681.mp3,Kò sí ìwé ẹ̀rí fun olùdíje tí àwọn ẹgbẹ́ onígbàálẹ̀ fà kalẹ̀.
dataset/clips/common_voice_yo_36523682.mp3,Àmọ̀tẹ́kùn ti gba àṣẹ ìdáábòbò lọ́wọ́ ìjọba.
dataset/clips/common_voice_yo_40401268.mp3,Ènìyàn ọgọ́jọ ló tún ṣẹ̀ṣẹ̀ lùgbàdì ààrùn olóde ní Nàìjíríà.
dataset/clips/common_voice_yo_40401270.mp3,Àbíkẹ́ sọ ìdí ti òun fi ń wọ ìbòrí lọ ṣe ìwọ́de.
dataset/clips/common_voice_yo_36526048.mp3,Ọ̀gá ni Bọ́lá jẹ́ fún Bọ̀dé lágbo òṣèlú.
dataset/clips/common_voice_yo_36526051.mp3,Àsìkò àjàkálẹ̀ ààrùn yìí jẹ́ kí n di télọ̀ tó mọṣẹ́ gidi.
dataset/clips/common_voice_yo_42817156.mp3,Amẹ́ríkà ní ààrin òun àti Nàíjíríà dán mọ́rán.
dataset/clips/common_voice_yo_42820101.mp3,Ṣíṣe déédé àti ààbò tó péye láwọn Yorùbá ń jà fún.
dataset/clips/common_voice_yo_40547565.mp3,Ìjọba Nàìjíríà pahùndà lóríi fọ́ọ̀mù ìdìbò.
dataset/clips/common_voice_yo_40547580.mp3,Kí ló fàá tí Ràsákì fi gba owó lọ́wọ́ ìyàwó ẹ̀ lánàá?
dataset/clips/common_voice_yo_36881776.mp3,Àrẹ̀mú faraya lórí báwọn jàǹdùkú ṣe ń borí ọmọogun wa.
dataset/clips/common_voice_yo_36881778.mp3,Ọ̀daràn mẹ́jọ ni wón mú ní ìlú Èrúwà lánàá.
dataset/clips/common_voice_yo_42513535.mp3,Ìjọba ti sọ pé oríṣiríṣi àǹfàání ni wọ́n máa ń ní fún àwọn akẹ́kọ̀ọ́
dataset/clips/common_voice_yo_42513621.mp3,Ṣọlá ní òun ní ìgbẹ́kẹ̀lé nínú Bíbélì tí òun gbé dání.
dataset/clips/common_voice_yo_42614588.mp3,Táyé ní ọ̀dọ́ ìyá àgbà ní àwọn ti gba ẹ̀bún orin kíkọ.
dataset/clips/common_voice_yo_36980440.mp3,Lọ sí ilé Délé Gíwá láti wo àwọn akẹ́kọ̀ọ́ tó ń gbé ibẹ̀.
dataset/clips/common_voice_yo_36980441.mp3,Àjọ elétò ìlera ti ní íjọba ti ra àwọn ohun ìgbógun ti ààrùn.
dataset/clips/common_voice_yo_36980444.mp3,Omi gbé arákùnrin ẹni ọdún mẹ́tàlá kan lọ ní Ìbàdàn
dataset/clips/common_voice_yo_37376114.mp3,Àdúrà ò ní padà gbà mọ́ nígbà tí àbòsí bá ti pọ̀ jù.
dataset/clips/common_voice_yo_37376115.mp3,Wo ohun tí òṣìṣẹ́ yìí ṣe tí ọ̀gá rẹ̀ fi fún ní ẹ̀bùn owó.
dataset/clips/common_voice_yo_37376117.mp3,Agbẹjọ́rò ẹbí olóògbé Láwuyì ti yá owó ńlá kan ní báǹkì
dataset/clips/common_voice_yo_37010794.mp3,Ọ̀pọ̀ owó tabuwa ni wọ́n kó fún mi lati pa ọ̀gá mi.
dataset/clips/common_voice_yo_37010795.mp3,Ó ṣeé ṣe kí ọdún wáyé lábẹ́ àwọn òfin tuntun nípa arùn àjàkáyé
dataset/clips/common_voice_yo_37010796.mp3,Ọmọ àlè ti fi ilé jóná báyìí nílùú Ìbàdàn.
dataset/clips/common_voice_yo_38013582.mp3,Ọ̀rọ̀ náà tí tá bá gbogbo àwọn tó wà ní ìjókòó.
dataset/clips/common_voice_yo_38024151.mp3,Ọmọ ìgboro méje kan lówo ilé tòmíwá.
dataset/clips/common_voice_yo_38024265.mp3,Ìjọba ti tún ilé-ìtajà ṣe fún ìrọ̀rùn àwọn olùgbé.
dataset/clips/common_voice_yo_37008103.mp3,"Ìyálé mi ti di ẹ̀rùjẹ̀jẹ̀ nínú ìlú, kò sí ẹni tó le múu"
